Country,Highest level of education attained by adult (%),Highest level of education attained by adult,X
Australia,25.4,Below Upper Secondary,Below Upper Secondary
Austria,30,Below Upper Secondary,Below Upper Secondary
Belgium,16.6,Below Upper Secondary,Below Upper Secondary
Canada,19.8,Below Upper Secondary,Below Upper Secondary
Chile,37.1,Below Upper Secondary,Below Upper Secondary
Czech Republic,12.7,Below Upper Secondary,Below Upper Secondary
Denmark,27.4,Below Upper Secondary,Below Upper Secondary
Estonia,26.5,Below Upper Secondary,Below Upper Secondary
Finland,10.5,Below Upper Secondary,Below Upper Secondary
France,26.4,Below Upper Secondary,Below Upper Secondary
Germany,39.2,Below Upper Secondary,Below Upper Secondary
Greece,34.6,Below Upper Secondary,Below Upper Secondary
Ireland,29.2,Below Upper Secondary,Below Upper Secondary
Israel,20.9,Below Upper Secondary,Below Upper Secondary
Italy,54.3,Below Upper Secondary,Below Upper Secondary
Netherlands,31.1,Below Upper Secondary,Below Upper Secondary
New Zealand,25.2,Below Upper Secondary,Below Upper Secondary
Norway,30.5,Below Upper Secondary,Below Upper Secondary
Poland,15.6,Below Upper Secondary,Below Upper Secondary
Slovenia,31.5,Below Upper Secondary,Below Upper Secondary
Spain,49.2,Below Upper Secondary,Below Upper Secondary
Sweden,20.7,Below Upper Secondary,Below Upper Secondary
Turkey,68.5,Below Upper Secondary,Below Upper Secondary
United Kingdom,35,Below Upper Secondary,Below Upper Secondary
Northern Ireland,44.1,Below Upper Secondary,Below Upper Secondary
United States,34.1,Below Upper Secondary,Below Upper Secondary
OECD average,29.7,Below Upper Secondary,Below Upper Secondary
Lithuania,19.4,Below Upper Secondary,Below Upper Secondary
Australia,45.6,Upper Secondary,Below Upper Secondary
Austria,60.6,Upper Secondary,Below Upper Secondary
Belgium,57.5,Upper Secondary,Below Upper Secondary
Canada,38.7,Upper Secondary,Below Upper Secondary
Chile,50.4,Upper Secondary,Below Upper Secondary
Czech Republic,84.8,Upper Secondary,Below Upper Secondary
Denmark,42.2,Upper Secondary,Below Upper Secondary
Estonia,52.8,Upper Secondary,Below Upper Secondary
Finland,50.7,Upper Secondary,Below Upper Secondary
France,49,Upper Secondary,Below Upper Secondary
Germany,50.9,Upper Secondary,Below Upper Secondary
Greece,46.9,Upper Secondary,Below Upper Secondary
Ireland,43,Upper Secondary,Below Upper Secondary
Israel,49.2,Upper Secondary,Below Upper Secondary
Italy,37.5,Upper Secondary,Below Upper Secondary
Netherlands,42.9,Upper Secondary,Below Upper Secondary
New Zealand,33.9,Upper Secondary,Below Upper Secondary
Norway,40.4,Upper Secondary,Below Upper Secondary
Poland,69.4,Upper Secondary,Below Upper Secondary
Slovenia,55.1,Upper Secondary,Below Upper Secondary
Spain,22.4,Upper Secondary,Below Upper Secondary
Sweden,55.6,Upper Secondary,Below Upper Secondary
Turkey,19.9,Upper Secondary,Below Upper Secondary
United Kingdom,40.2,Upper Secondary,Below Upper Secondary
Northern Ireland,37.1,Upper Secondary,Below Upper Secondary
United States,58.1,Upper Secondary,Below Upper Secondary
OECD average,48.1,Upper Secondary,Below Upper Secondary
Lithuania,72.8,Upper Secondary,Below Upper Secondary
Australia,29,Tertiary,Below Upper Secondary
Austria,9.3,Tertiary,Below Upper Secondary
